,Unnamed: 0,Project_ID,Recipient-ID,Recipient_Name,State/Territory,Reporting_Tier,Recipient_Type,Completion_Status,Project_Name,Expenditure_Category_Group,Expenditure_Category,Project_Description,Adopted_Budget,Total_Cumulative_Obligations,Total_Cumulative_Expenditures,Number_of_Households_Served_(Select_Expenditure_Categories_Only),Number_of_Workers_Served_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Responding_to_COVID-19_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only),Community_benefit_agreement?_(Infrastructure_Only),Complying_with_David_Bacon?_(Infrastructure_Only),Project_labor_agreement?_(Infrastructure_Only),Does_the_Project_have_Capital_Expenditures?_(Yes/No)_(Select_Expenditure_Categories_Only),Type_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Total_Expected_Cost_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Primary_Demographic_Served_(Select_Expenditure_Categories_Only),Secondary_Demographic_Served_(Select_Expenditure_Categories_Only),Tertiary_Demographic_Served_(Select_Expenditure_Categories_Only),Project_is_conducting_an_evidence_based_program_evaluation?_(Yes/No),Project_Total_Spending_on_Evidence_Based_Evaluation,timestamp,Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only)2,Complying_with_Davis_Bacon?_(Infrastructure_Only),Project_being_evaluated_through_rigorous_program_evaluation?,Dollar_amount_of_the_total_project_spending_allocated_towards_evidence-based_interventions,Project_Description_keywords,Project_mention_tracing_yn
458,458,TPN-003027,RCP-037548,"Pittsfield, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Contact tracing,1-Public Health,1.3-COVID-19 Contact Tracing,contact tracing,147761.12,147761.12,147761.12,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"contact, tracing",yes
459,459,TPN-114960,RCP-037598,"Framingham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Framingham COVID-19 Contact Tracing Q4 2022,1-Public Health,1.3-COVID-19 Contact Tracing,Citywide COVID-19 Contract Tracing,,25856.0,25856.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,4 Imp HHs that experienced increased food or housing insecurity,,,2024-06-30,,,,,"COVID-19, Citywide, Contract, Tracing",no
460,460,TPN-141024,RCP-037598,"Framingham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Framingham COVID-19 Contact Tracing Q1 2023,1-Public Health,1.3-COVID-19 Contact Tracing,COVID-19 Contact Tracing and Clinic,25647.2,25647.2,25647.2,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,4 Imp HHs that experienced increased food or housing insecurity,,,2024-06-30,,,,,"COVID-19, Clinic, Contact, Tracing",no
461,461,TPN-079513,RCP-037598,"Framingham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Framingham COVID-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"City of Framingham COVID-19 Contact Tracing 
• Log into state disease surveillance data system (MAVEN) and claim all Framingham positive cases (required by
state) and assign to COVID team contact tracers 
• Call and complete question package in state data system for positive cases, use state funded interpreter services as
needed. During surges prioritize positive cases in highest risk age groups and settings. (questions here: 
http://www.maventrainingsite.com/maven-help/pdf/COVID-19%20Interviewing%20Tool_Ver8.0_Oct_11_2021.pdf
)
• Call or send letters to positive cases with clear instructions in English, Spanish and/or Portuguese for completing
isolation. During surges prioritize positive cases in highest risk age groups and settings. 
• Call or send letters to close contacts with clear instructions in English, Spanish and/or Portuguese for completing
quarantine. During surges prioritize close contacts in highest risk age groups and settings. 
• Identify workplace or childcare clusters and document in MAVEN 
• Cross reference cases with School Health Unit to ensure FPS students and household members receive accurate
information
• Write and provide Return to Work or Isolation clearance letters as needed",,74378.0,74378.0,,,,,,,,No,,,1 Imp General Public,1 Imp General Public,2 Imp Low or moderate income HHs or populations,,,2024-06-30,,,,,"COVID, COVID-19, City, Contact, Cross, English, FPS, Framingham, Health, Identify, Isolation, Log, MAVEN, Portuguese, Return, School, Spanish, Tracing, Unit, Work, Write, accurate, age, assign, cases, childcare, claim, clear, clearance, close, clusters, complete, completing, contact, contacts, data, disease, document, ensure, funded, groups, highest, household, http://www.maventrainingsite.com/maven-help/pdf/COVID-19%20Interviewing%20Tool_Ver8.0_Oct_11_2021.pdf, information, instructions, interpreter, isolation, letters, members, needed, package, positive, prioritize, provide, quarantine, question, questions, receive, reference, required, risk, send, services, settings, state, students, surges, surveillance, system, team, tracers, use, workplace, •",yes
462,462,TPN-099712,RCP-037598,"Framingham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Cancelled,Framingham COVID-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,COVID Contact Tracing,0.0,0.0,0.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,4 Imp HHs that experienced increased food or housing insecurity,,,2024-06-30,,,,,"COVID, Contact, Tracing",no
463,463,TPN-111341,RCP-037598,"Framingham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,City of Framingham COVID-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,COVID-19 Contact Tracing,45148.0,19686.0,19686.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,4 Imp HHs that experienced increased food or housing insecurity,,,2024-06-30,,,,,"COVID-19, Contact, Tracing",no
464,464,TPN-020249,RCP-037598,"Framingham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Framingham COVID-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"City of Framingham COVID-19 Contact Tracing 
•	Log into state disease surveillance data system (MAVEN) and claim all Framingham positive cases (required by state) and assign to COVID team contact tracers 
•	Call and complete question package in state data system for positive cases, use state funded interpreter services as needed.  During surges prioritize positive cases in highest risk age groups and settings.   (questions here: http://www.maventrainingsite.com/maven-help/pdf/COVID-19%20Interviewing%20Tool_Ver8.0_Oct_11_2021.pdf)
•	Call or send letters to positive cases with clear instructions in English, Spanish and/or Portuguese for completing isolation.  During surges prioritize positive cases in highest risk age groups and settings.   
•	Call or send letters to close contacts with clear instructions in English, Spanish and/or Portuguese for completing quarantine.  During surges prioritize close contacts in highest risk age groups and settings.   
•	Identify workplace or childcare clusters and document in MAVEN 
•	Cross reference cases with School Health Unit to ensure FPS students and household members receive accurate information
•	Write and provide Return to Work or Isolation clearance letters as needed",99122.0,99122.0,99122.0,,,,,,,,No,,,1 Imp General Public,1 Imp General Public,2 Imp Low or moderate income HHs or populations,,,2024-06-30,,,,,"COVID, COVID-19, City, Contact, Cross, English, FPS, Framingham, Health, Identify, Isolation, Log, MAVEN, Portuguese, Return, School, Spanish, Tracing, Unit, Work, Write, accurate, age, assign, cases, childcare, claim, clear, clearance, close, clusters, complete, completing, contact, contacts, data, disease, document, ensure, funded, groups, highest, household, http://www.maventrainingsite.com/maven-help/pdf/COVID-19%20Interviewing%20Tool_Ver8.0_Oct_11_2021.pdf, information, instructions, interpreter, isolation, letters, members, needed, package, positive, prioritize, provide, quarantine, question, questions, receive, reference, required, risk, send, services, settings, state, students, surges, surveillance, system, team, tracers, use, workplace, •",yes
465,465,TPN-067108,RCP-037730,"Waltham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,PT/Temporary nurses were hired to perform contact tracing for the City of Waltham.,,169965.14,169965.14,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"City, PT, Temporary, Waltham, contact, hired, nurses, perform, tracing",yes
466,466,TPN-164860,RCP-037812,State of California,California,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Completed,Statewide COVID-19 Contact Tracing Redirection,1-Public Health,1.3-COVID-19 Contact Tracing,"Early in the COVID-19 Pandemic, California directed all state departments to identify five percent of staff to participate in statewide contact tracing efforts. These employees underwent training and the majority were assigned to local public health departments to augment the capacity to perform contact tracing across California. At its peak, the project had over 2,800 redirected state employees that performed contact tracing activities. SLFRF funds were used to reimburse various state funds for labor costs associated with redirecting state employees who conducted COVID-19 contact tracing activities in 2021-22.",35498403.0,35498403.0,35498403.0,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"COVID-19, California, Pandemic, SLFRF, activities, assigned, associated, augment, capacity, conducted, contact, costs, departments, directed, efforts, employees, funds, health, identify, labor, local, majority, participate, peak, percent, perform, performed, project, public, redirected, redirecting, reimburse, staff, state, statewide, tracing, training, underwent",yes
467,467,TPN-030140,RCP-036074,State Of Alabama,Alabama,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Completed,Hospital COVID-19 Recovery Fund Program 1.3,1-Public Health,1.3-COVID-19 Contact Tracing,"Contact tracing for Hospital COVID-19 Recovery Fund Program. This program is for healthcare and related services related to the COVID-19 pandemic and public health emergency for Alabama hospitals, all in accordance with the requirements of Section 602 of the Social Security Act and the Interim Final Rule.",3359.82,3359.82,3359.82,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"Act, Alabama, COVID-19, Contact, Final, Fund, Hospital, Interim, Program, Recovery, Rule, Section, Security, Social, accordance, emergency, health, healthcare, hospitals, pandemic, program, public, related, requirements, services, tracing",yes
